 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                          |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| Date  | Time  |    Sequence        | #Img | QPI| QPP| QPB| Format  | #B | Hdmd | S.R |#Ref | Freq |Intra upd|SNRY 1|SNRU 1|SNRV 1|SNRY N|SNRU N|SNRV N|#Bitr P|#Bitr B|     Total Time   |      Me Time     |
| 06/22 | 22:25 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|38.573|45.930|46.125| 527883|      0|          12676   |              0   |
| 06/22 | 22:26 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|38.573|45.930|46.125| 527883|      0|          12496   |              0   |
| 06/22 | 22:28 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|38.573|45.930|46.125| 527883|      0|          12601   |              0   |
| 06/22 | 22:29 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|38.573|45.930|46.125| 527883|      0|          12470   |              0   |
| 06/22 | 22:30 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |39.402|47.802|47.427|38.373|45.801|45.962| 528455|      0|          12725   |              0   |
| 06/22 | 22:31 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|38.573|45.930|46.125| 527883|      0|          12783   |              0   |
| 06/23 | 09:52 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|39.016|46.161|46.435| 319331|      0|          55926   |          24042   |
| 06/23 | 09:54 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|39.016|46.161|46.435| 319331|      0|          55593   |          23927   |
| 06/23 | 09:57 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|39.016|46.161|46.435| 319331|      0|          55219   |          23931   |
| 06/26 | 15:33 |workspace/tmp/41.yuv|   27 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |45.453|55.449|62.033|44.145|51.208|52.368| 309148|      0|          52703   |          22856   |
| 06/26 | 16:37 |workspace/tmp/41.yuv|   27 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |45.453|55.449|62.033|44.145|51.208|52.368| 309148|      0|          56365   |          24768   |
| 06/26 | 16:40 |workspace/tmp/41.yuv|   27 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |45.453|55.449|62.033|44.145|51.208|52.368| 309148|      0|          53251   |          23178   |
| 07/04 | 11:49 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|39.016|46.161|46.435| 319331|      0|          55587   |          23793   |
| 07/04 | 12:56 |workspace/tmp/41.yuv|   29 |  28  |  28  | 30 | 176x144 |  0 |   ON   |    16   | 10  |  25  |   OFF   |43.684|48.827|50.181|39.016|46.161|46.435| 319331|      0|          55741   |          24037   |
